pylon_id,x,y,z,n_points
0,383152.68148338783,5099730.820778781,1905.1276075543976,95499
1,383172.6167350823,5100036.096979312,1895.5897744057227,118493
2,383188.4852405629,5100278.600441276,1888.062049156962,123041
